Royce_ID_Num,Royce_ID,Tribal_Nation,US_Acquired_Mode,Cession_State,Yr_US_Acquire,Date_US_Acquire,Total_Acres,Total_US_Paid,US_Paid_Per_Acre,Total_Area_Source,Total_US_Paid_Source,Royce_Link,Notes,GIS_Source
43,43,Choctaw,"Ceded by treaty, December 17, 1801",MS,1801,18011217,"2,307,060","$2,000.00 ",$0.00 ,Calculated in GIS,"Kappler II, 57",https://archive.org/stream/annualreportofbu218smit#page/660/mode/2up,"Payment from treaty in goods, excludes the value (not identified) of 3 sets of blacksmith tools promised","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
50,50,Sauk and Fox,"Ceded by treaty, Novermber 3, 1804",IL; MO; WI,1804,18041103,"16,086,800","$20,000.00 ",$0.00 ,Calculated in GIS,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/666/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
61,61,Choctaw,"Ceded by treaty, Novermber 16, 1805",AL; MS,1805,18051116,"5,137,100","$51,000.00 ",$0.01 ,Calculated in GIS,"Kappler II, 87",https://archive.org/stream/annualreportofbu218smit#page/672/mode/2up,"Payment from treaty, excludes unidentified value of ongoing service annuity of $150 to three ""great Medal Mingoes""","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
66,66,Chippewa; Ottawa; Potawatomi; Wyandot,"Ceded by treaty, Novermber 17, 1807",MI; OH,1807,18071117,"5,964,280","$57,717.32 ",$0.01 ,Calculated in GIS,"41 ICC 327, p. 328, 349",https://archive.org/stream/annualreportofbu218smit#page/674/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
67,67,Great and Little Osage,"Ceded by treaty, November 10, 1808",AR; MO,1808,18081110,"54,933,789","$56,833.79 ",$0.00 ,Calculated in GIS,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/676/mode/2up,"Combines Royce area 67 and 69, which are for the same treaty","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
94,94,Quapaw,"Ceded by treaty, August 24, 1818",AR; LA; OK,1818,18180824,"34,755,448","$19,630.00 ",$0.00 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/688/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
97,97,Great and Little Osage,"Ceded by treaty, September 25, 1818",AR; OK,1818,18180925,"1,965,169","$3,095.42 ",$0.00 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/692/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
111,111,Chippewa,"Ceded by treaty, September 24, 1819",MI,1819,18190924,"7,417,400","$16,667.00 ",$0.00 ,"30 ICC 295, p. 310, 335","30 ICC 295, p. 310, 335",https://archive.org/stream/annualreportofbu218smit#page/698/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
117,117,Chippewa; Ottawa; Potawatomi,"Ceded by treaty, August 29, 1821",IN; MI,1821,18210829,"4,114,330","$108,499.20 ",$0.03 ,"14 ICC 518, p. 522, 547","14 ICC 518, p. 522, 547",https://archive.org/stream/annualreportofbu218smit#page/702/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
118,118,Florida tribes,"Ceded by treaty, September 18, 1823",FL,1823,18230918,"30,084,600","$152,500.00 ",$0.01 ,Calculated in GIS,"23 ICC 108, p. 111, 113",https://archive.org/stream/annualreportofbu218smit#page/704/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
123,123,Great and Little Osage,"Ceded by treaty, June 2, 1825",AR; KS; MO; OK,1825,18250602,"37,081,154","$808,261.40 ",$0.02 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/708/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
124,124,Kansas,"Ceded by treaty, June 3, 1825",KS; MO; NE,1825,18250603,"18,314,240","$106,555.42 ",$0.01 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/708/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
151,151,Iowa; Medewakanton; Missouri; Omaha; Oto; Sauk and Fox; Sioux (Wahpeton and Sisseton Bands); Wahpekuta,"Ceded by treaty, July 15, 1830",IA; MN; MO,1830,18300715,"14,673,660","$69,583.86 ",$0.00 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/726/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
152,152,Iowa; Medewakanton; Missouri; Omaha; Oto; Sauk and Fox; Sioux (Wahpeton and Sisseton Bands); Wahpekuta,"Ceded by treaty, July 15, 1830",IA,1830,18300715,"14,673,660","$69,583.86 ",$0.00 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/726/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
153,153,Iowa; Medewakanton; Missouri; Omaha; Oto; Sauk and Fox; Sioux (Wahpeton and Sisseton Bands); Wahpekuta,"Ceded by treaty, July 15, 1830",IA; MN,1830,18300715,"14,673,660","$69,583.86 ",$0.00 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/726/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
158,158,Menomini,"Ceded by treaty (for conversion to reservation), February 8, 1831",WI,1831,18310208,"4,009,000","$114,970.40 ",$0.03 ,"11 ICC 336, p. 385","11 ICC 336, p. 385",https://archive.org/stream/annualreportofbu218smit#page/728/mode/2up,"Total area combines Royce areas 158, 160, 219, and 271","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
160,160,Menomini,"Ceded by treaty, February 8, 1831",WI,1831,18310208,"4,009,000","$114,970.40 ",$0.03 ,"11 ICC 336, p. 385","11 ICC 336, p. 385",https://archive.org/stream/annualreportofbu218smit#page/728/mode/2up,"Total area combines Royce areas 158, 160, 219, and 271","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
173,173,Seminole,"Ceded by treaty, May 9, 1832",FL,1832,18320509,"5,865,600","$2,094,809.39 ",$0.36 ,"23 ICC 108, p. 111, 113","23 ICC 108, p. 111, 113",https://archive.org/stream/annualreportofbu218smit#page/734/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
186,186,Missouri; Oto,"Ceded by treaty, September 21, 1833",NE,1833,18330921,"792,000","$39,410.15 ",$0.05 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/750/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
191,191,"Confederated Pawnee: Grand Pawnee, Pawnee Loup, Pawnee Republicans, Pawnee Tappaye residing on the Platt and Loup Fork","Ceded by treaty, October 9, 1833",KS; NE,1833,18331009,"13,074,000","$148,200.00 ",$0.01 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/750/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
205,205,Chippewa; Ottawa,"Ceded by treaty, March 28, 1836",MI,1836,18360328,"13,466,449","$1,821,628.06 ",$0.14 ,"26 ICC 538, p. 541, 542","26 ICC 538, p. 541, 542",https://archive.org/stream/annualreportofbu218smit#page/756/mode/2up,"Total area combines Royce area 205 with reservation lands (including Royce area 207) and two other small tracts to total 13,536,449.25. I subtracted 70,000 acres (Royce area 207) from calculation","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
207,207,Chippewa; Ottawa,Seized without treaty/agreement (former reservation),MI,1836,18360328,"70,000",$0.00 ,$0.00 ,"26 ICC 538, p. 541, 542","26 ICC 538, p. 541, 542",https://archive.org/stream/annualreportofbu218smit#page/756/mode/2up,"ICC included Royce area 207 with Royce area 205. I subtracted 70,000 acres (Royce area 207) from calculation","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
219,219,Menomini,"Ceded by treaty, September 3, 1836",MI; WI,1836,18360903,"4,009,000","$114,970.40 ",$0.03 ,"11 ICC 336, p. 385","11 ICC 336, p. 385",https://archive.org/stream/annualreportofbu218smit#page/760/mode/2up,"Total area combines Royce areas 158, 160, 219, and 271","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
242,242,Chippewa,"Ceded by treaty, July 29, 1837",MN; WI,1837,18370729,"13,664,871","$835,378.08 ",$0.06 ,"26 ICC 22, p. 59; 32 ICC 192, p. 213","26 ICC 22, p. 59; 32 ICC 192, p. 213",https://archive.org/stream/annualreportofbu218smit#page/766/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
243,243,Sioux,"Ceded by treaty, September 29, 1837",MN; WI,1837,18370929,"3,778,700","$759,991.00 ",$0.20 ,"18 ICC 477, p. 479; 10 ICC 137, p. 160; 16 ICC 81, p. 116","18 ICC 477, p. 479; 10 ICC 137, p. 160; 16 ICC 81, p. 116",https://archive.org/stream/annualreportofbu218smit#page/766/mode/2up,"Case (ICC Docket 360) was settled for $1,129,359 (18 ICC 477, p. 479). The parties agreed the Sioux had an interest in 3,778,700 acres of Royce Area 243, with the Winnebago controlling east of the Black River (see 10 ICC 137, p. 160) but no final determination of value or consideration was made. The ICC did, however, value the Winnebago lands at 50 cents per acre (see 16 ICC 81, p. 116). If we assume a similar value for the Sioux interest in Royce Area 243 and subtract the value of the the settlement that leaves $759,991 as the treaty consideration.","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
245,245,Winnebago,"Ceded by treaty, Novermber 1, 1837",WI,1837,18371101,"3,795,900","$2,974,512.93 ",$0.78 ,Calculated in GIS,"16 ICC 81, p. 118; for payment see General Services Administration Report Re: Petitions of the Winnebago Tribe and Nation of Indians, et al, Dkt 243, 24, 245, p. 3",https://archive.org/stream/annualreportofbu218smit#page/768/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
261,261,Chippewa of the Mississippi and Lake Superior,"Ceded by treaty, October 4, 1842",MI; WI,1842,18421004,"10,538,000","$346,689.68 ",$0.03 ,"37 ICC 146, p. 169; 41 ICC 102, p. 109","37 ICC 146, p. 169; 41 ICC 102, p. 109",https://archive.org/stream/annualreportofbu218smit#page/776/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
262,262,Sauk and Fox,"Ceded by treaty, October 11, 1842",IA,1842,18421011,"11,924,300","$1,427,517.34 ",$0.12 ,Calculated in GIS,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/778/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
264,264,Kansas,"Ceded by treaty, January 14, 1846",KS,1846,18460114,"6,559,040","$329,927.25 ",$0.05 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/778/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
268,268,Chippewa of the Mississippi and Lake Superior,"Ceded by treaty, August 2, 1847",MN,1847,18470802,"1,104,000","$71,000.00 ",$0.06 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
269,269,Chippewa (Pillager band),"Ceded by treaty, August 21, 1847",MN,1847,18470821,"814,500","$19,706.94 ",$0.02 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
270,270,Pawnee (four confederated bands),"Ceded by treaty, August 6, 1848",NE,1848,18480806,"110,419","$2,000.00 ",$0.02 ,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
271,271,Menomini,"Ceded by treaty, October 18, 1848",WI,1848,18481018,"4,009,000","$114,970.40 ",$0.03 ,"11 ICC 336, p. 385","11 ICC 336, p. 385",https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,"Total area combines Royce areas 158, 160, 219, and 271","USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
273,273,A-pang-asse; Aplache; A-wall-a-che; Co-co-noon; Po-to-yan-ti; Si-yan-te,"Seized by unratified treaty, March 19, 1851",CA,1851,18510319,"103,665",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
274,274,A-pang-asse; Aplache; A-wall-a-che; Co-co-noon; Po-to-yan-ti; Si-yan-te,"Seized by unratified treaty, March 19, 1851",CA,1851,18510319,"2,535,580",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
275,275,Cas-son; Cho-e-nem-nee; Cho-ki-men-a; Chook-cha-nee; Chow-chil-lie; How-ech-ee; I-tach-ee; Nook-choo; No-to-no-to; Pas-ke-sa; Pit-cat-chee; Po-ho-nee-chee; Tall-in-chee; Toom-na; Wa-cha-et; We-mal-che,"Seized by unratified treaty, April 29, 1851",CA,1851,18510429,"831,812",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
276,276,Cah-wia; Choi-nuck; Hol-cu-ma; In-tim-peach; No-to-no-to; Ta-che; To-e-ne-che; To-lum-ne; Tu-huc-mach; We-mil-che; Wic-chum-ne; Yo-kol,"Seized by unratified treaty, May 13, 1851",CA,1851,18510513,"364,741",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
277,277,Ko-ya-te; New-chow-we; Pal-wis-ha; Po-ken-well; Wack-sa-che; Wo-la-si; Ya-wil-chine,"Seized by unratified treaty, May 30, 1851",CA,1851,18510530,"579,013",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
278,278,Ko-ya-te; New-chow-we; Pal-wis-ha; Po-ken-well; Wack-sa-che; Wo-la-si; Ya-wil-chine,"Seized by unratified treaty, May 30, 1851",CA,1851,18510530,"238,675",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
279,279,Ko-ya-te; New-chow-we; Pal-wis-ha; Po-ken-well; Wack-sa-che; Wo-la-si; Ya-wil-chine,"Seized by unratified treaty, May 30, 1851",CA,1851,18510530,"11,092,100",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
280,280,Chap-pah-sim; Co-to-plan-e-nee; I-o-no-hum-ne; Sage-womnee; Su-ca-ah; We-chil-la,"Seized by unratified treaty, May 28, 1851",CA,1851,18510528,"93,792",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
281,281,Chap-pah-sim; Co-to-plan-e-nee; I-o-no-hum-ne; Sage-womnee; Su-ca-ah; We-chil-la,"Seized by unratified treaty, May 28, 1851",CA,1851,18510528,"3,675,150",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
282,282,Chu-nute; Co-ye-tie; Wo-wol; Yo-lum-ne,"Seized by unratified treaty, June 3, 1851",CA,1851,18510603,"412,932",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
283,283,Chu-nute; Co-ye-tie; Wo-wol; Yo-lum-ne,"Seized by unratified treaty, June 3, 1851",CA,1851,18510603,"613,785",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
284,284,Chu-nute; Co-ye-tie; Wo-wol; Yo-lum-ne,"Seized by unratified treaty, June 3, 1851",CA,1851,18510603,"6,807,690",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
285,285,Buena Vista; Car-I-se; Cas-take; Hol-mi-uk; Ho-lo-cla-me; San Im-iri; Se-na-hu-ow; So-ho-nut; Te-jon; To-ci-a; Uva,"Seized by unratified treaty, June 10, 1851",CA,1851,18510610,"798,631",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
286,286,Buena Vista; Car-I-se; Cas-take; Hol-mi-uk; Ho-lo-cla-me; Se-na-hu-ow; So-ho-nut; Te-jon; To-ci-a; Uva,"Seized by unratified treaty, June 10, 1851",CA,1851,18510610,"9,015,760",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/782/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
287,287,Be-no-pi; Das-pia; Mon-e-da; Nem-shaw; On-o-po-ma; Wai-de-pa-can; Wan-nuck; Ya-cum-na; Ya-ma-do; Yol-la-mer,"Seized by unratified treaty, July 18, 1851",CA,1851,18510718,"127,225",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
288,288,Be-no-pi; Das-pia; Mon-e-da; Nem-shaw; On-o-po-ma; Wai-de-pa-can; Wan-nuck; Ya-cum-na; Ya-ma-do; Yol-la-mer,"Seized by unratified treaty, July 18, 1851",CA,1851,18510718,"1,675,990",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
289,289,Sioux (Wahpeton and Sisseton Bands); Sioux (Medewakanton and Wahpekuta),"Ceded by treaty, July 23 and August, 5, 1851",IA; MN; SD,1851,18510723,"23,473,900","$555,000.00 ",$0.02 ,Calculated in GIS,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
290,290,Bat-si; Che-no; Es-ki-un; Ho-lo-lu-pi; Mi-chop-da; Sim-sa-wa; Su-nu; To-to; Yut-duc,"Seized by unratified treaty, August 1, 1851",CA,1851,18510801,"84,200",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
291,291,Bat-si; Che-no; Es-ki-un; Ho-lo-lu-pi; Mi-chop-da; Sim-sa-wa; Su-nu; To-to; Yut-duc,"Seized by unratified treaty, August 1, 1851",CA,1851,18510801,"3,357,870",$0.00 ,$0.00 ,Calculated in GIS,California treaties unratified,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,,"USFS, “Tribal Lands Ceded to the United States” (Royce attributes); Claudio Saunt, “Invasion of America” (Royce polygons)"
